year,athlete_id,player,team,ppa_per_dropback,total_ppa_pass
2014,381494,Christian Stewart,BYU,0.257,94.371
2014,480746,Bryce Petty,Baylor,0.368,163.788
2014,480846,C.J. Brown,Maryland,0.046,16.871
2014,482594,Taysom Hill,BYU,0.204,29.439
2014,485026,Ammon Olsen,Southern Utah,-0.1,-4.307
2014,498266,Garrett Safron,Sacramento State,0.001,0.02
2014,498533,Andy Vailas,New Hampshire,-0.283,-1.7
2014,499533,Dakota Wolf,Campbell,-0.124,-1.853
2014,499807,Nick Montana,Tulane,-0.071,-5.773
2014,499830,Blake Jurich,San José State,0.242,24.489
2014,499869,Mike Quinn,Elon,0.094,3.753
2014,499979,Caleb Berry,Lamar,-0.18,-8.089
2014,500419,Trevor Siemian,Northwestern,0.084,34.55
2014,500445,Mike Perish,Indiana State,-0.026,-2.073
2014,500514,Kalen Henderson,Nicholls,-0.19,-15.731
2014,500571,Jameill Showers,UTEP,0.149,44.088
2014,500769,Josh Vander Maten,South Dakota,-0.371,-0.743
2014,500846,Andrew Manley,Eastern Illinois,0.218,7.647
2014,500913,Andrew Hendrix,Miami (OH),0.172,85.494
2014,500938,Shane Carden,East Carolina,0.318,205.413
2014,500975,Connor Reilly,Temple,-0.171,-3.417
2014,500990,Bo Wallace,Ole Miss,0.284,105.062
2014,501033,Matt Joeckel,TCU,-0.212,-4.444
2014,501046,Anthony Boone,Duke,0.121,54.44
2014,501052,Brandon Connette,Fresno State,-0.079,-4.656
2014,501098,Clint Trickett,West Virginia,0.28,122.445
2014,501175,Michael Strauss,Richmond,0.168,6.533
2014,501176,Michael Rocco,Richmond,0.793,8.721
2014,501222,Mark Leal,Virginia Tech,0.911,8.195
2014,501241,Cody Fajardo,Nevada,0.191,74.994
2014,501268,Billy Cosh,Houston,-0.088,-0.789
2014,501541,Rob Bolden,Eastern Michigan,-0.207,-21.53
2014,501543,Devin Gardner,Michigan,0.1,30.488
2014,501563,Jake Heaps,Miami,-0.162,-2.108
2014,501565,Pete Thomas,UL Monroe,0.106,57.169
2014,501843,Brion Carnes,Northern Iowa,-1.012,-1.012
2014,502335,Munchie Legaux,Cincinnati,0.375,29.658
2014,502467,Lucas Beatty,Gardner-Webb,-0.092,-0.918
2014,503091,Sam Stratton,Wyoming,-0.284,-1.99
2014,503389,Joe Brennan,Towson,-0.165,-1.485
2014,503793,John Kinder,Stony Brook,0.105,1.156
2014,503922,Terrance Broadway,Louisiana,0.123,44.894
2014,503970,Tyler Murphy,Boston College,0.191,47.503
2014,503973,Christian Provancha,Florida,NA,0
2014,504004,Hutson Mason,Georgia,0.409,119.146
2014,504052,Blake Sims,Alabama,0.468,187.653
2014,504238,Dylan Favre,UT Martin,-0.358,-9.659
2014,504295,Dylan Thompson,South Carolina,0.31,146.062
2014,504417,Ryan Howard,Central Arkansas,1.233,7.398
2014,504457,Chris Leachman,Alabama A&M,0.37,1.11
2014,504700,Taylor Kelly,Arizona State,0.267,80.227
2014,504731,Austin Hinder,California,-0.11,-0.33
2014,504745,Bryan Bennett,SE Louisiana,-0.21,-7.34
2014,504786,Sean Mannion,Oregon State,0.156,75.742
2014,504800,Anthony Neyer,USC,NA,0
2014,504823,Connor Halliday,Washington State,0.284,153.731
2014,504866,Brandon Doughty,Western Kentucky,0.473,265.932
2014,504908,Grant Hedrick,Boise State,0.378,164.725
2014,505012,Taylor Burch,Louisiana Tech,-0.359,-2.154
2014,505049,Jeremy Higgins,Hawai'i,-0.068,-1.638
2014,505313,David Olson,Clemson,-0.536,-1.608
2014,505475,Beaux Hebert,Nicholls,0.049,1.998
2014,505864,Ezayi Youyoute,Georgia Southern,NA,0
2014,505882,London Lacy,UC Davis,0.221,9.288
2014,506309,Logan Hallock,App State,-0.315,-0.946
2014,506444,Myles McKee,UAB,-2.36,-4.72
2014,506664,Austin Sumner,South Dakota State,-0.111,-0.446
2014,506820,Jordan Johnson,Montana,0.05,2.288
2014,507125,TeDarrius Wiley,South Carolina State,-0.92,-15.647
2014,507211,Brandon Bridge,South Alabama,0.126,38.16
2014,508164,CJ Bennett,Murray State,0.058,1.324
2014,508835,Benjamin Anderson,Arkansas-Pine Bluff,-0.157,-3.454
2014,509992,Ryan Williams,Miami,-0.703,-0.703
2014,511215,Morgan Roberts,Yale,0.108,4.42
2014,511260,J.W. Walsh,Oklahoma State,-0.041,-1.508
2014,511262,David Ash,Texas,0.131,4.597
2014,511308,Garrett Leatham,NC State,0.032,0.161
2014,511361,David Watford,Virginia,0.128,0.897
2014,511459,Marcus Mariota,Oregon,0.527,249.678
2014,511552,Derrius Vick,Ohio,0.194,32.4
2014,511607,Matt McIntosh,Northern Illinois,0.281,6.466
2014,511688,Russell Bellomy,Michigan,-0.916,-1.833
2014,511713,Vernon Adams Jr.,Eastern Washington,3.282,22.977
2014,511741,Sean Goldrich,New Hampshire,0.412,17.721
2014,511889,Jeff Driskel,Florida,0.107,23.138
2014,511969,Sam B. Richardson,Iowa State,0.15,51.877
2014,511982,Brett Hundley,UCLA,0.284,113.461
2014,511987,Jerry Neuheisel,UCLA,-0.217,-9.112
2014,512030,Dak Prescott,Mississippi State,0.315,131.981
2014,512052,Cole Stoudt,Clemson,0.111,35.001
2014,512108,Mike Nebrich,Fordham,0.451,17.595
2014,512172,Christian LeMay,Jacksonville State,-0.134,-0.938
2014,512191,Jacoby Brissett,NC State,0.252,98.159
2014,512223,Trey Fetner,South Alabama,NA,0
2014,512345,Brayle Brown,UL Monroe,0.027,0.676
2014,512366,Tim Byerly,Georgia Tech,0.771,10.796
2014,512424,Justin Worley,Tennessee,0.075,21.022
2014,512469,Bram Kohlhausen,TCU,0.311,2.8
2014,512632,Devin Combs,Nevada,NA,0
2014,512675,Joe Gray,San José State,0.323,92.915
2014,512705,Connor Cook,Michigan State,0.488,183.043
2014,512806,Chuckie Keeton,Utah State,-0.077,-7.347
2014,512882,Kameron Bryant,App State,0.036,1.633
2014,512913,Jacob Huesman,Chattanooga,0.04,1.634
2014,512983,Mark Iannotti,Southern Illinois,0.026,1.243
2014,513329,Cody Kessler,USC,0.45,217.026
2014,513425,Ronnie Bell,Georgia State,0.032,0.35
2014,513614,Joe Licata,Buffalo,0.362,129.541
2014,513615,Tony Daniel,Buffalo,0.663,9.95
2014,513787,Joe Minden,Stephen F. Austin,1.099,8.793
2014,513823,Kevin Earl,South Dakota,0.093,2.616
2014,513860,Ben McLane,Georgia State,0.678,2.034
2014,513877,John Robertson,Villanova,0.205,6.144
2014,513949,Taylor Heinicke,Old Dominion,0.265,115.642
2014,514079,Kaleb Griffin,Presbyterian,-0.104,-0.727
2014,514105,Daxx Garman,Oklahoma State,0.105,31.884
2014,514124,Jake Coker,Alabama,0.341,21.148
2014,514152,Joseph Calcagni,Tulsa,-0.505,-9.086
2014,514230,Joel Stave,Wisconsin,0.17,36.104
2014,514286,Drew Kummer,Miami (OH),-0.077,-0.767
2014,514440,Terrel Hunt,Syracuse,0.032,4.674
2014,514481,Michael Brewer,Virginia Tech,0.158,72.928
2014,514502,Max Shortell,Jacksonville State,0.066,1.317
2014,514617,Kyle Pohl,Akron,0.024,9.377
