year,athlete_id,player,targets,incompletions,epa_per_rec,total_epa
2012,13223,Justin Johnson,2,0,2.8711659228343054,5.742331845668611
2013,13223,Justin Johnson,8,0,0.17175054935225478,1.3740043948180383
2014,13223,Justin Johnson,7,1,1.081987387384975,6.49192432430985
2015,13223,Justin Johnson,7,2,1.1492562629301388,5.746281314650694
2005,16705,Bristol Olomua,26,1,0.6682249124727516,16.70562281181879
2007,23243,Curtis Hamilton,56,8,0.8890548177928529,42.67463125405694
2011,27200,Michael Johnson,32,4,0.671684343568792,18.807161619926177
2015,29649,Jamaal Jackson,1,0,-0.4222792124579309,-0.4222792124579309
2013,100009,Johnny Jackson,12,0,0.8516720019592382,10.220064023510858
2015,100009,Johnny Jackson,62,12,0.8362674080302283,41.81337040151141
2005,100410,Zac Collie,11,1,0.6177514008173554,6.177514008173554
2006,100410,Zac Collie,21,0,1.2747055950036146,26.768817495075904
2008,100774,Andrew Johnson,11,2,0.1724552835701729,1.552097552131556
2022,102597,Will Rogers,4,0,3.037066032401791,12.148264129607163
2023,102597,Will Rogers,1,0,2.45399822917955,2.45399822917955
2024,102597,Will Rogers,2,0,2.7922563610544815,5.584512722108963
2005,102644,Tyler Ecker,23,1,1.0303283066401525,22.667222746083354
2006,102644,Tyler Ecker,13,1,0.7977637296784307,9.573164756141168
2005,104623,Nick McAfee,3,0,-0.006635969600906237,-0.019907908802718713
2005,104693,Quinn Sypniewski,24,0,1.0713915817030806,25.713397960873934
2016,106327,Jason Johnson,1,0,-0.3344154137436685,-0.3344154137436685
2010,106739,Eric Thomas,9,1,0.888703025643697,7.109624205149576
2011,106739,Eric Thomas,73,10,0.5982687207870147,37.690929409581926
2012,106739,Eric Thomas,60,5,0.6336370581990737,34.85003820094905
2013,106739,Eric Thomas,73,7,0.9125177302807944,60.22617019853243
2020,107494,Trey Sanders,1,0,-0.8427602397099019,-0.8427602397099019
2021,107494,Trey Sanders,4,0,0.5405119014449424,2.1620476057797697
2022,107494,Trey Sanders,2,0,1.3383695676315799,2.6767391352631598
2023,107494,Trey Sanders,6,1,-0.1382695979166512,-0.6913479895832559
2005,107635,Tommy Cook,7,0,1.8046600666564871,12.63262046659541
2012,109907,Jon Lee,4,0,0.6859436909875543,2.743774763950217
2013,109907,Jon Lee,2,0,-0.855161614771407,-1.710323229542814
2014,109907,Jon Lee,3,1,0.02205937920204648,0.04411875840409296
2005,112487,Paul Dombrowski,22,0,0.70125980982003,15.42771581604066
2005,112530,Broderick Clark,4,0,1.2872102654088957,5.148841061635583
2005,112534,Joshua Tinch,63,1,0.9441076636703631,58.53467514756252
2005,113690,Ryan Pearson,6,0,1.5347941563267968,9.208764937960781
2005,113711,Cory Ross,44,0,0.17149390594403702,7.545731861537629
2005,113714,Marques Simmons,2,0,2.5688669830499915,5.137733966099983
2005,113717,Marques Hagans,1,0,0.604642460086338,0.604642460086338
2005,113732,Ottowa Anderson,6,1,1.0528020248570695,5.264010124285347
2005,113746,Owen Daniels,21,0,1.0905804544967523,22.9021895444318
2005,113758,Jason Pociask,9,1,0.7746513998635179,6.1972111989081435
2005,113800,Bobby Hoover,9,0,0.5140309314559456,4.62627838310351
2005,113852,Jarwarski Pollock,31,1,0.7762571060144522,23.287713180433567
2005,113854,Matt Baker,1,0,-0.0313165466988918,-0.0313165466988918
2005,113902,Kejuan Jones,10,0,0.7506846223666405,7.506846223666405
2005,113921,James Moses,5,0,1.383793022163223,6.918965110816115
2005,113946,Alex Shor,9,1,1.0955212884378367,8.764170307502694
2005,113975,James Garee,6,0,0.8310619300759147,4.986371580455488
2005,113987,Evan Judge,31,1,0.8636261594824229,25.908784784472687
2005,113995,Damarius Bilbo,43,3,1.2835235822070965,51.34094328828386
2005,114043,Jason Montgomery,51,3,0.6944548400022393,33.33383232010749
2005,114048,Jerell Ringer,1,0,1.1839699828509378,1.1839699828509378
2005,114111,Ian Sample,10,1,1.0488066375184943,9.439259737666449
2006,114111,Ian Sample,12,0,0.49537668964595055,5.944520275751406
2005,114315,Jamel Harris,14,0,1.0502752542526683,14.703853559537356
2006,114315,Jamel Harris,8,0,0.8124027967731609,6.499222374185287
2005,114338,Bruce Gradkowski,1,0,0.2238966589405024,0.2238966589405024
2005,114341,Trinity Dawson,23,0,0.6477646273406816,14.898586428835678
2005,114712,Spencer Lewis,1,0,3.2544338999186113,3.2544338999186113
2005,114719,Troy Peyerk,4,0,0.2781507620982555,1.112603048393022
2005,114727,Justin Harper,65,1,0.5670128888927815,36.28882488913801
2005,114728,Jacob Brown,26,0,1.0021360065953424,26.055536171478902
2005,114870,Derek Carter,4,0,0.2688669771299135,1.075467908519654
2005,114902,Pat Raleigh,4,0,0.6250083687270889,2.5000334749083555
2005,115052,Julius Wainwright,1,1,0.0,-0.553372477964512
2005,115069,Chico Cleveland,21,0,0.735549266476341,15.446534596003161
2014,115262,Jamar Brown,5,1,0.43110711928928314,1.7244284771571325
2015,115262,Jamar Brown,1,0,1.405434091375659,1.405434091375659
2005,115316,Richard McQuillar,10,0,0.9082998980224664,9.082998980224664
2005,115361,Chris Henry,1,0,-0.4985643632324876,-0.4985643632324876
2005,115387,Dustin Dunning,28,2,0.7943833258384553,20.653966471799837
2005,115461,Greg Jennings,81,0,0.6538003651054434,52.95782957354091
2005,115467,Trovon Riley,16,0,0.5919212193689961,9.470739509903938
2005,115493,Tony Scheffler,55,2,0.7839270238534393,41.54813226423228
2005,115499,Ross Farren,1,0,0.123114611710422,0.123114611710422
2005,115516,Jared Hicks,3,0,0.19313578845860135,0.5794073653758041
2005,115635,Michael Franklin,2,0,0.5471571532610633,1.0943143065221266
2006,115641,Robert Miller,5,0,0.6161069531082257,3.0805347655411284
2005,115660,Marty Martin,2,0,0.0770208564296061,0.1540417128592122
2005,115674,Troy Bienemann,16,0,1.0537341004186453,16.859745606698326
2005,115695,Trandon Harvey,16,0,1.044759498061365,16.71615196898184
2005,115782,Jarod Posthumus,7,0,0.7754130310746855,5.427891217522799
2005,115810,Jared Ellerson,25,4,0.5403489608072819,11.347328176952919
2005,115811,Jakari Wallace,16,0,1.1398607894423567,18.237772631077707
2005,115818,Rikki Cook,2,0,0.05018532637307615,0.1003706527461523
2005,115819,Tres Moses,47,3,1.0036678668665402,44.16138614212777
2005,115823,Ryan Cubit,1,0,2.0162774797658205,2.0162774797658205
2005,115824,Chris Baker,2,0,-0.27597210936220934,-0.5519442187244187
2005,115985,Larry Lester,38,2,0.930974900125451,33.515096404516235
2005,116003,Chris Miller,26,1,0.5434241803591778,13.585604508979447
2005,116011,Mario Merrills,2,1,1.2449780830432289,1.2449780830432289
2005,116025,Ricardo Dickerson,1,0,0.7081222799232592,0.7081222799232592
2005,116034,Derrick Fenner,33,1,0.9032288121574747,28.903321989039192
2005,116131,Cory McKinney,3,0,1.753160428717149,5.259481286151447
2005,116182,Cedric Humes,10,0,0.6733356840825973,6.733356840825973
2005,116185,Jeff King,31,5,0.7591415072174826,19.73767918765455
2005,116194,Jordan Trott,3,1,-0.34339655717312934,-0.6867931143462587
2005,116283,Alexis Bwenge,4,0,0.05127301162869949,0.20509204651479795
2005,116318,Josh Bailey,2,0,1.2980735592724044,2.596147118544809
2005,116347,Curtis Baham,34,1,1.1034657295145287,36.41436907397945
2005,116351,Kyle Browning,6,0,0.7543664747499879,4.526198848499927
2005,116388,Tim Massaquoi,11,0,0.9059161143187946,9.96507725750674
2005,116400,Martin Nance,79,7,0.9572138641502447,68.91939821881762
2005,116407,Tyler Vogel,5,0,1.1685635207848382,5.842817603924191
2005,116425,Dan Tyler,5,0,1.0655764196791584,5.327882098395792
2005,116519,Matt Bartz,11,0,0.9682134334685191,10.65034776815371
2005,116535,Jovon Bouknight,68,0,0.7984639782313728,54.295550519733354
2005,116791,Darcy Johnson,38,1,0.7423906813427863,27.468455209683093
2005,116808,Cedric Dargan,2,0,0.29830768397656354,0.5966153679531271
2005,116820,Andy Roland,14,1,1.324995122376269,17.2249365908915
2005,116835,Matt Henshaw,20,0,0.57109392978169,11.421878595633801
2005,116842,Willie Reid,41,2,1.000739917104214,39.02885676706435
2005,116866,Donnie Carter,6,0,0.3047929728070602,1.8287578368423612
2005,116872,Cory Randolph,1,1,0.0,0.2657123799059588
2005,116935,Bennie Brazell,14,1,1.2262625892511418,15.941413660264843
2005,116946,Ryan Gilbert,14,0,0.16960619747505065,2.374486764650709
2005,116954,Joseph Addai,20,0,0.5039379857087279,10.07875971417456
2005,116958,Shyrone Carey,4,0,0.6744323083170202,2.6977292332680807
2005,116982,David Jones,13,0,0.9166822208780919,11.916868871415195
2005,116990,Jonathan Fields,60,1,0.7233915743618556,42.680102887349484
